# Generated from RO3 Recovery Localization_zh_CN.lua.bytes
# Japanese values are NOT stored here; split_1000 parts 1-27 remain canonical.
# zh_CN_sha256=c2b07cf34c138d97351273ad00b1db2645a47be1ff49f4e108f531911963c614
# en_sha256=5ea8f468a675efe64a71eef887e485266d58edf6ce69e52a3d12abbe087340c7
# english_skill_ids_verified=1823
ID	English	ChineseSimplified
10110200543	Skill@{1} Sequential Circular Sonic Blast	(无需翻译)技能@{1}有序圆形音爆
10110200544	Skill@{1} Music Box	(无需翻译)技能@{1}八音盒
10110200545	Skill@{1} Randomized Cone AoE	(无需翻译)技能@{1}扇形aoe乱序
10110200546	Skill@{1} Aggro Control	(无需翻译)技能@{1}仇恨控制
10110200547	Player Anti-Air Cannon Fire	(无需翻译)玩家防空炮开炮
10110200548	Skill@{1} Fin Missile	(无需翻译)技能@{1}鱼鳍导弹
10110200549	Skill@{1} Teleport	(无需翻译)技能@{1}传送
10110200550	Skill@{1} Ripple Fin	(无需翻译)技能@{1}波纹鱼鳍
10110200551	Skill@{1} Cloud Tracking	(无需翻译)技能@{1}云层跟踪
10110200552	Skill@{1} Four Elites	(无需翻译)技能@{1}四只精英
10110200553	Skill@{1} Cone Attack @{2} Times	(无需翻译)技能@{1}扇@{2}次
10110200554	Skill@{1} Stationary Fin	(无需翻译)技能@{1}原地鱼鳍
10110200555	Skill@{1} Four Cone Attacks	(无需翻译)技能@{1}四次扇形
10110200556	Skill@{1} Fin Split	(无需翻译)技能@{1}鱼鳍分裂
10110200557	Skill@{1} Fin Dimensional Slash	(无需翻译)技能@{1}鱼鳍次元斩
10110200558	Skill@{1} Fin Mix	(无需翻译)技能@{1}鱼鳍混合
10110200559	Hunter Death	捕猎者死亡
10110200560	Skill@{1} Charge	(无需翻译)技能@{1}突进
10110200561	Hunter Charged Spin	捕猎者蓄力回旋
10110200562	Summon Airship Monsters	召唤飞艇怪物
10110200563	Summon Airship Monsters-Normal	召唤飞艇怪物-普通
10110200564	Pilot	驾驶
10110200565	Player Rapid-Fire Cannon Fire	(无需翻译)玩家急射炮开炮
10110200566	Bagpipe Sound Blade	风笛音刃【无需翻译】
10110200567	Laser	激光【无需翻译】
10110200568	Rectangular Sonic Blast	矩形音爆【无需翻译】
10110200569	Circular Sonic Blast	圆形音爆【无需翻译】
10110200570	Piccolo	短笛【无需翻译】
10110200571	Bubble	泡泡【无需翻译】
10110200572	Ring Drum Phase @{1}	环形鼓@{1}段【无需翻译】
10110200573	Memory Game-Bottom Warning	记忆游戏-下侧预警【无需翻译】
10110200574	Memory Game-Top Warning	记忆游戏-上侧预警【无需翻译】
10110200575	Memory Game-Left Warning	记忆游戏-左侧预警【无需翻译】
10110200576	Memory Game-Right Warning	记忆游戏-右侧预警【无需翻译】
10110200577	Memory Game-Circular Warning	记忆游戏-圆形预警【无需翻译】
10110200578	Memory Game-Ring Warning	记忆游戏-环形预警【无需翻译】
10110200579	Memory Game-Bottom Damage	记忆游戏-下侧伤害【无需翻译】
10110200580	Memory Game-Top Damage	记忆游戏-上侧伤害【无需翻译】
10110200581	Memory Game-Left Damage	记忆游戏-左侧伤害【无需翻译】
10110200582	Memory Game-Right Damage	记忆游戏-右侧伤害【无需翻译】
10110200583	Memory Game-Circular Damage	记忆游戏-圆形伤害【无需翻译】
10110200584	Memory Game-Ring Damage	记忆游戏-环形伤害【无需翻译】
10110200585	Shaking Bubble	抖动泡泡【无需翻译】
10110200586	Send Stage Message: Bubble	发送关卡消息泡泡【无需翻译】
10110200587	Send Stage Message: Memory Warning	发送关卡消息记忆预警【无需翻译】
10110200588	Send Stage Message: Memory Damage	发送关卡消息记忆伤害【无需翻译】
10110200589	Make Statue Fire Laser	让雕像放激光【无需翻译】
10110200590	Kun Dive	鲲俯冲【无需翻译】
10110200591	Kun Spit Out Players	鲲吐人【无需翻译】
10110200592	Kun Suck In Players	鲲吸人【无需翻译】
10110200593	Kun Entrance	鲲出场【无需翻译】
10110200594	Kun Water Vortex	鲲水漩涡【无需翻译】
10110200595	Make Statue Cast Rectangle	让雕像放矩形【无需翻译】
10110200596	Kun Movement	鲲移动【无需翻译】
10110200597	Summon Notes	召唤音符【无需翻译】
10110200598	Note A Explosion	音符A爆炸【无需翻译】
10110200599	Note B Explosion	音符B爆炸【无需翻译】
10110200600	Linear Laser	直线激光【无需翻译】
10110200601	Trigger Linear Laser	触发直线激光【无需翻译】
10110200602	Four Sequential Shockwaves	冲击波先后四个【无需翻译】
10110200603	Four Simultaneous Shockwaves	冲击波同时四个【无需翻译】
10110200604	One Random Shockwave	冲击波随机一个【无需翻译】
10110200605	Music Box	八音盒【无需翻译】
10110200606	Water Pillar	水柱【无需翻译】
10110200607	Music Box Circular AoE	八音盒圆形AOE【无需翻译】
10110200608	Spotlight	聚光灯【无需翻译】
10110200609	Send Stage Message to Change Kun's State	发送关卡消息改变鲲状态【无需翻译】
10110200610	Send Stage Message to Change Boss State	发送关卡消息改变Boss状态【无需翻译】
10110200611	Kun Appears (Boss Action)	鲲出场（boss动作）【无需翻译】
10110200612	Kun Spits Out Players (Boss Action)	鲲吐人（boss动作）【无需翻译】
10110200613	Kun Sucks In Players (Boss Action)	鲲吸人（boss动作）【无需翻译】
10110200614	Kun Dives (Boss Action)	鲲俯冲（boss动作）【无需翻译】
10110200615	Kun Moves @{1}	鲲移动@{1}【无需翻译】
10110200616	Statue Rectangle @{1}	雕像矩形@{1}【无需翻译】
10110200617	Statue Laser @{1}	雕像激光@{1}【无需翻译】
10110200618	Continuous Ring Drum @{1}	环形鼓连续@{1}【无需翻译】
10110200619	Strike Ring Drum @{1} Times	环形鼓拍@{1}下【无需翻译】
10110200620	Spotlight @{1}	聚光灯@{1}【无需翻译】
10110200621	Rift Knockback	裂缝击退【无需翻译】
10110200622	Blink	闪现【无需翻译】
10110200623	Jellyfish AoE	水母AOE【无需翻译】
10110200624	Eight Consecutive Shockwaves	冲击波先后八个【无需翻译】
10110200625	@{1} Simultaneous Shockwaves	冲击波同时@{1}个【无需翻译】
10110200626	Wave Splash	浪花飞溅【无需翻译】
10110200627	Revive Kun	鲲复活【无需翻译】
10110200628	Piccolo Targets @{1} Players	短笛点名@{1}人【无需翻译】
10110200629	Phase Transition Cleanup	转阶段清场处理【无需翻译】
10110200630	Jellyfish Death Cleanup	水母死亡清场【无需翻译】
10110200631	Fly Away During Transition	转场飞走【无需翻译】
10110200632	Holy Light Strike	圣光轰击
10110200633	Thunderfall	雷霆坠击
10110200634	Deep Freeze	深冰封锁
10110200635	Transform into Tornado	变身龙卷风
10110200636	Periodic Explosion - Effect	周期爆炸-效果
10110200637	Massive Area Heal	巨大范围治疗
10110200638	DMG Reduction	减伤
10110200639	ATK Boost	攻击加成
10110200640	Hammer Strike	锤击
10110200641	Earthquake	震地
10110200642	Whirlwind	旋风斩
10110200643	AoE Acceleration	群体加速
10110200644	Earth-Splitting Blow	裂地重击
10110200645	Blazing Formation	爆炎阵
10110200646	Tornado Incarnation	化身龙卷
10110200647	Soul Recall Ring	回魂环
10110200648	Protective Shield	护身盾
10110200649	Focused Blade	凝神剑
10110200650	Summon Madogear Pilot	召唤机甲
10110200651	End of ID Section	ID段尾
10110200652	Monster Normal Attack-Fire	怪物普攻-火[无需翻译]
10110200653	Build Turret	建造炮台
10110200654	Fire Cannon	开炮
10110200655	Madogear Pilot Repair	机甲维修
10110200656	Jump onto the Rampart	跳上城墙
10110200657	Jump off the Rampart	跳下城墙
10110200658	Launch Missile	发射飞弹
10110200659	Cut	切割（无需翻译）
10110200660	Seismic Wave	地震波（无需翻译）
10110200661	Invincible	无敌（无需翻译）
10110200662	Launch Missile	发射飞弹（无需翻译）
10110200663	Cluster Missile	集束飞弹（无需翻译）
10110200664	Acceleration	加速（无需翻译）
10110200665	Rapidness Shot	疾速射击（无需翻译）
10110200666	Self-Destruct	自爆（无需翻译）
10110200667	Battle Command	战斗命令
10110200668	Defend the Glory	坚守荣耀
10110200670	Indigestion	消化不良【无需翻译】
10110200671	Putrid Explosion	腐烂爆炸【无需翻译】
10110200672	Acid Spray	酸液喷射【无需翻译】
10110200673	Devouring Tongue	吞噬之舌【无需翻译】
10110200674	Dracula Normal Attack	德古拉普攻【无需翻译】
10110200675	Gift of the Underworld @{1}	冥府礼赠@{1}【无需翻译】
10110200676	Shadow Siphon@{1}	暗影虹吸@{1}【无需翻译】
10110200677	Funeral Beat@{1}	送葬节拍@{1}【无需翻译】
10110200678	Nether Pact Brand	冥契烙印【无需翻译】
10110200679	Circle of the Dead	亡者圆阵【无需翻译】
10110200680	Owl's Eye	鹗枭之眼
10110200681	Vulture's Eye	苍鹰之眼
10110200682	Double Strafe	二连矢
10110200683	Arrow Shower	箭雨
10110200684	Steady Focus	心神凝聚
10110200685	Falconry Mastery	驯鹰术
10110200686	Blitz Beat	闪电冲击
10110200687	Beastbane	动物杀手
10110200688	Steel Crow	钢制喙
10110200689	Claymore Trap	爆散陷阱
10110200690	Freezing Trap	霜冻陷阱
10110200691	Falcon Assault	猎鹰突击
10110200692	True Sight	狙杀瞄准
10110200693	Sharp Shooting	锐利射击
10110200694	Rapid Combo	极速连击
10110200695	Chain Lightning	连锁闪电
10110200696	Triple Strafe	三连矢
10110200697	Explosive Arrow	爆炸箭矢
10110200698	Falcon Strike	猎鹰一击
10110200699	Meteor Arrow Shower	星陨箭雨
10110200700	Falcon Rush	猎鹰冲刺
10110200701	Ranger's Resolve	游侠的决心
10110200702	Fear Breeze	微风恐惧
10110200703	Focused Arrow Strike (Unlimited Shooting)	瞄准射击（无限射击）
10110200704	Unlimited Shooting	无限射击
10110200705	Keen Senses	敏锐嗅觉
10110200706	Wolf Taming	驯狼术
10110200707	Warg Strike	狼突击
10110200708	Warg Howl	狼吼
10110200709	Warg Strike	狼爪击
10110200710	Wolf's Fang	狼牙
10110200711	King of the Wargs	群狼之王
10110200712	Warg Hunt	狼狩猎
10110200713	Enhance Warg Hunt	强化狼狩猎
10110200714	Warg Bite	狼撕咬
10110200715	Swift Warg	疾狼术
10110200716	Warg Companion (Warg Strike)	狼跟班（狼突击）
10110200717	Warg Companion (Warg Bite)	狼跟班（狼撕咬）
10110200718	Warg Hunt (Melee)	狼狩猎（近）
10110200719	Enhance Warg Hunt (Melee)	强化狼狩猎（近）
10110200720	Warg Hunt (Ranged)	狼狩猎（远）
10110200721	Enhance Warg Hunt (Ranged)	强化狼狩猎（远）
10110200722	Yggdrasil Leaf	天地树叶
10110200723	Unstuck	脱离卡死
10110200724	Goblin Spiral Launch	哥布林螺旋升天（无需翻译）
10110200725	Wobbling Goblin	哥布林摇摇欲坠（无需翻译）
10110200726	Doragon Launch	多拉贡升天（无需翻译）
10110200727	Doragon Landing	多拉贡降落（无需翻译）
10110200728	@{1}-Pound Dynamite	@{1}磅炸弹（无需翻译）
10110200729	Take Flight	飞天（无需翻译）
10110200730	Burrow Underground	遁地（无需翻译）
10110200731	Dragon Sanctuary	龙之圣殿（无需翻译）
10110200732	Scatter Red Envelopes	撒红包（无需翻译）
10110200733	Summoning Ritual	召唤仪式（无需翻译）
10110200734	Dig	寻宝
10110200736	Logging	伐木
10110200737	Talk	对话
10110200738	Provoke	挑衅
10110200739	Fire Bolt	火箭术
10110200740	Lightning Bolt	雷击术
10110200741	Cold Bolt	冰箭术
10110200742	Sonic Blow	音速投掷
10110200743	Envenom	涂毒
10110200744	Fire@{1}-Rapid	开炮@{1}-极速【无需翻译】
10110200745	Jump into the Cave	跳下洞穴
10110200746	Rescue Bobo	救下波波
10110200747	Free the Ant Egg	解开蚁卵
10110200748	Help the Professor Up	搀扶教授
10110200749	Open	打开宝箱
10110200750	Leave	离开
10110200751	Feed	投喂
10110200752	Board the Cannon	上炮
10110200753	Bobo Bubble	波波泡泡
10110200754	Bobo Bubble Animation	波波泡泡表现
10110200755	Monster Normal Attack-Neutral	怪物普攻-无[无需翻译]
10110200756	Monster Normal Attack-Wind	怪物普攻-风[无需翻译]
10110200757	Monster Normal Attack-Earth	怪物普攻-地[无需翻译]
10110200758	Monster Normal Attack-Water	怪物普攻-水[无需翻译]
10110200759	Monster Normal Attack-Void	怪物普攻-虚[无需翻译]
10110200760	Monster Normal Attack-Light	怪物普攻-光[无需翻译]
10110200761	Monster Normal Attack-Dark	怪物普攻-暗[无需翻译]
10110200762	Monster Normal Attack-Ghost	怪物普攻-念[无需翻译]
10110200763	Monster Normal Attack-Eternal	怪物普攻-永恒[无需翻译]
10110200764	Mandragora Ranged Normal Attack	曼陀罗花远程普攻[无需翻译]
10110200765	Poring Normal Attack	波利普攻[无需翻译]
10110200766	Lunatic Normal Attack	疯兔普攻[无需翻译]
10110200767	Fabre Normal Attack	绿棉虫普攻[无需翻译]
10110200768	Picky	小鸡[无需翻译]
10110200769	Chonchon	苍蝇[无需翻译]
10110200770	Super Picky	蛋壳小鸡[无需翻译]
10110200771	Willow	树精[无需翻译]
10110200772	Condor	秃鹰[无需翻译]
10110200773	Savage Babe	小野猪[无需翻译]
10110200774	Rocker	蝗虫[无需翻译]
10110200775	Roda Frog	罗达蛙[无需翻译]
10110200776	Worm Tail	森灵[无需翻译]
10110200777	Ambernite	蜗牛[无需翻译]
10110200778	Spore	魔菇[无需翻译]
10110200779	Thief Bug	盗虫[无需翻译]
10110200780	Creamy	克瑞米[无需翻译]
10110200781	Drops	土波利[无需翻译]
10110200782	Tarou	白鼠[无需翻译]
10110200783	Familiar	吸血蝙蝠[无需翻译]
10110200784	Baby Desert Wolf	沙漠幼狼[无需翻译]
10110200785	Yoyo	溜溜猴[无需翻译]
10110200786	Scorpion	蝎子[无需翻译]
10110200787	Poporing	波波利[无需翻译]
10110200788	Thief Bug Female	浮勒盗虫[无需翻译]
10110200789	Thief Bug Male	玛勒盗虫[无需翻译]
10110200790	Smokie	狸猫[无需翻译]
10110200791	Boa	青蛇[无需翻译]
10110200792	Poison Spore	毒魔菇[无需翻译]
10110200793	Horn	锹形虫[无需翻译]
10110200794	Bigfoot	大脚熊[无需翻译]
10110200795	Squirrel	松鼠[无需翻译]
10110200796	Generic Downed Corrosion Skill	通用倒下腐蚀技能【无需翻译】
10110200797	Generic Finishing Skill	通用了断技能【无需翻译】
10110200798	Fierce Boa	厉蛇[无需翻译]
10110200799	Gluttonous Spider	暴食蜘蛛[无需翻译]
10110200800	Blazing Familiar	爆炎蝙蝠[无需翻译]
10110200801	Greedy Fire Ant	贪婪火蚁[无需翻译]
10110200802	Greedy Willow	贪婪树精[无需翻译]
10110200803	Greedy Black Kite	贪婪黑鸢[无需翻译]
10110200804	Greedy Fireclaw Wolf's Fang	贪婪火爪狼牙[无需翻译]
10110200805	Greedy Ositos	贪婪俄希托斯[无需翻译]
10110200806	Phantom of Despair	绝望幻影[无需翻译]
10110200807	Greedy Comodo	贪婪科摩多[无需翻译]
10110200808	Greedy Flame Wolf's Fang	贪婪火焰狼牙[无需翻译]
10110200809	Greedy Kaho	贪婪卡浩[无需翻译]
10110200810	Salamander	火蜥蜴[无需翻译]
10110200811	Greedy Headless Mule	贪婪无头骡[无需翻译]
10110200812	Greedy Ifrit	贪婪伊夫利特[无需翻译]
10110200813	Greedy Bigfoot	贪婪大脚熊[无需翻译]
10110200814	Greedy Phoenix	贪婪不灭鸟[无需翻译]
10110200815	Blazing Fiend	炙焰怪[无需翻译]
10110200816	Greedy Magmaring	贪婪熔岩波利[无需翻译]
10110200817	Greedy Fallen Angel	贪婪堕天使[无需翻译]
10110200818	Greedy Lava Toad	贪婪熔岩蟾蜍[无需翻译]
10110200819	Divine Light	治愈术[无需翻译]
10110200820	Normal Attack	普攻[无需翻译]
10110200821	Live Ammo Test	真子弹测试[无需翻译]
10110200822	Arrow Attack	弓箭攻击[无需翻译]
10110200823	Cold Bolt	冰箭术[无需翻译]
10110200824	Dummy Hits Self@{1}%	木桩打自己@{1}%[无需翻译]
10110200825	Plankton	漂浮虫[无需翻译]
10110200826	Marina	水母[无需翻译]
10110200827	Vadon	螃蟹[无需翻译]
10110200828	Kukre	库克雷[无需翻译]
10110200829	Elder Willow	长老树精[无需翻译]
10110200830	Goblin (Axe)	大斧哥布灵[无需翻译]
10110200831	Goblin (Flail) (Deprecated)	链锤哥布灵废弃[无需翻译]
10110200832	Caramel	刺猬虫[无需翻译]
10110200833	Marin	冰波利[无需翻译]
10110200834	Peco Peco	大嘴鸟[无需翻译]
10110200835	Wolf	狼[无需翻译]
10110200836	Ant Egg	白蚁幼虫[无需翻译]
10110200837	Stainer	瓢虫[无需翻译]
10110200838	Skeleton	邪骸战士[无需翻译]
10110200839	Furious Poporing	愤怒波波利[无需翻译]
10110200840	Hydra	海葵[无需翻译]
10110200841	Obeaune	人鱼[无需翻译]
10110200842	Flora	噬人花[无需翻译]
10110200843	Martin	土拨鼠[无需翻译]
10110200844	Giearth	基尔瑟[无需翻译]
10110200845	Skeleton Worker	邪骸矿工[无需翻译]
10110200846	Zombie	腐尸[无需翻译]
10110200847	Savage	野猪[无需翻译]
10110200848	Greatest General	将军魔碑[无需翻译]
10110200849	Deniro	兵蚁[无需翻译]
10110200850	Piere	工蚁[无需翻译]
10110200851	Magnolia	魔锅蛋[无需翻译]
10110200852	Frilldora	伞蜥[无需翻译]
10110200853	Andre	白蚁[无需翻译]
10110200854	Archer Skeleton	邪骸弓箭手[无需翻译]
10110200855	Isis	蛇女伊丝[无需翻译]
10110200856	Verit	毕莱特[无需翻译]
10110200857	Matyr	黑狐[无需翻译]
10110200858	Minorous	米洛斯[无需翻译]
10110200859	Mimic	邪恶箱[无需翻译]
10110200860	Pirate Skeleton	邪骸海盗[无需翻译]
10110200861	Choco	巧克猴[无需翻译]
10110200862	Bongun	妖道[无需翻译]
10110200863	Baphomet Jr.	小巴风特[无需翻译]
10110200864	Sasquatch	雪熊[无需翻译]
10110200865	Vitata	黑蚁[无需翻译]
10110200866	Muka	摩卡[无需翻译]
10110200867	Placeholder	占位[无需翻译]
10110200868	Dustiness	猎蝇[无需翻译]
10110200869	Nightmare	恶灵[无需翻译]
10110200870	Rotar Zairo	直升机哥布灵[无需翻译]
10110200871	Eggyra	转转蛋[无需翻译]
10110200872	Goblin (Flail)	链锤哥布林[无需翻译]
10110200873	Marse	乌贼[无需翻译]
10110200874	Marine Sphere	气泡虫[无需翻译]
10110200875	Sword Fish	异变鱼[无需翻译]
10110200876	Marc	马克[无需翻译]
10110200877	Phen	剑鱼[无需翻译]
10110200878	Steel Chonchon	绿苍蝇[无需翻译]
10110200879	Beetle King	巨象甲虫[无需翻译]
10110200880	Argos	艾斯蜘蛛[无需翻译]
10110200881	Myst	麦斯特[无需翻译]
10110200882	Whisper	白幽灵[无需翻译]
10110200883	Orc Warrior	兽人战士[无需翻译]
10110200884	Orc Lady	兽人女战士[无需翻译]
10110200885	Orc Baby	兽人婴儿[无需翻译]
10110200886	Goblin (Dagger)	刺刀哥布灵[无需翻译]
10110200887	Goblin (Mace)	刺锤哥布灵[无需翻译]
10110200888	Goblin Archer	弓箭哥布灵[无需翻译]
10110200889	Metaller	重金属蝗虫[无需翻译]
10110200890	Zenorc	兹诺克[无需翻译]
10110200891	Megalodon	邪骸食人鱼[无需翻译]
10110200892	Thara Frog	达拉蛙[无需翻译]
10110200893	Merman	人鱼士兵[无需翻译]
10110200894	Penomena	梅纳海葵[无需翻译]
10110200895	Deviace	狄奥斯[无需翻译]
10110200896	Mantis	螳螂[无需翻译]
10110200897	Side Winder	黑蛇[无需翻译]
10110200898	Driller	爆钻伞蜥[无需翻译]
10110200899	Hunter Fly	赤苍蝇[无需翻译]
10110200900	Argiope	艾吉欧蜈蚣[无需翻译]
10110200901	Ghoul	绿腐尸[无需翻译]
10110200902	Nightmare	梦魇[无需翻译]
10110200903	Goblin (Hammer)	榔头哥布灵[无需翻译]
10110200904	Goblin Steamrider	喷射哥布灵[无需翻译]
10110200905	Sandman	泥人[无需翻译]
10110200906	Hode	蚯蚓[无需翻译]
10110200907	Orc Archer	兽人弓箭手[无需翻译]
10110200908	Orc Skeleton	邪骸兽人[无需翻译]
10110200909	Orc Zombie	兽人腐尸[无需翻译]
10110200910	Sohee	鬼女[无需翻译]
10110200911	Horong	鬼火[无需翻译]
10110200912	Nine Tails	九尾狐[无需翻译]
10110200913	Munak	僵尸[无需翻译]
10110200914	Dokebi	土人[无需翻译]
10110200915	Noxious	诺可伊[无需翻译]
10110200916	Zerom	杰洛米[无需翻译]
10110200917	Golem	巨石怪[无需翻译]
10110200918	Soldier Skeleton	邪骸士兵[无需翻译]
10110200919	Mummy	木乃伊[无需翻译]
10110200920	Vocal Normal Attack	摇滚蝗虫普攻[无需翻译]
10110200921	Vocal Skills	摇滚蝗虫技能[无需翻译]
10110200922	Eclipse Normal Attack	蓝疯兔普攻[无需翻译]
10110200923	Eclipse Skills	蓝疯兔技能[无需翻译]
10110200924	Mastering Normal Attack	波利之王普攻[无需翻译]
10110200925	Mastering Skills	波利之王技能[无需翻译]
10110200926	Dragon Fly Normal Attack	龙蝇普攻[无需翻译]
10110200927	Dragon Fly Skills	龙蝇技能[无需翻译]
10110200928	Maya Purple Normal Attack	狂暴蚁后普攻[无需翻译]
10110200929	Maya Purple Skills	狂暴蚁后技能[无需翻译]
10110200930	Ghostring Normal Attack	幽灵波利普攻[无需翻译]
10110200931	Ghostring Skills	幽灵波利技能[无需翻译]
10110200932	Vagabond Wolf Normal Attack	流浪之狼普攻[无需翻译]
10110200933	Vagabond Wolf Skills	流浪之狼技能[无需翻译]
10110200934	Dark Priest Normal Attack	暗黑祭司普攻[无需翻译]
10110200935	Dark Priest Skills	暗黑祭司技能[无需翻译]
10110200936	Gryphon Normal Attack	狮鹫兽普攻[无需翻译]
10110200937	Gryphon Skills	狮鹫兽技能[无需翻译]
10110200938	Kobold Leader Normal Attack	犬妖首领普攻[无需翻译]
10110200939	Kobold Leader Skills	犬妖首领技能[无需翻译]
10110200940	Toad Normal Attack	蛙王普攻[无需翻译]
10110200941	Toad Skills	蛙王技能[无需翻译]
10110200942	Cat o' Nine-Tail Normal Attack	狂暴月夜猫普攻[无需翻译]
10110200943	Cat o' Nine-Tail Skills	狂暴月夜猫技能[无需翻译]
10110200944	Ring of Light	光明之环【无需翻译】
10110200945	Angel Swipe	天使扫击【无需翻译】
10110200946	Poring Explosion	波利爆炸【无需翻译】
10110200947	Realm of Light	光明领地【无需翻译】
10110200948	Pyroblast	炎爆术【无需翻译】
10110200949	Lava Heatwave	熔岩热浪【无需翻译】
10110200950	Summon Self-Destruct Poring	自爆波利召唤【无需翻译】
10110200951	Summon Thief Bug	盗虫召唤【无需翻译】
10110200952	Frenzy	狂暴【无需翻译】
10110200953	Ring of Darkness	黑暗之环【无需翻译】
10110200954	Fallen Swipe	堕落扫击【无需翻译】
10110200955	Bombring Explosion	炸弹波利爆炸【无需翻译】
10110200956	Realm of Darkness	黑暗领地【无需翻译】
10110200957	Summon Bombring	炸弹波利召唤【无需翻译】
10110200958	Terrifying Roar	破胆怒吼【无需翻译】
10110200959	Blade Whirlwind	刀刃旋风【无需翻译】
10110200960	Spinning Blade Strike	旋刃打击【无需翻译】
10110200961	Shatterblade	碎刃【无需翻译】
10110200962	Rock-Shattering Strike	碎石击【无需翻译】
10110200963	Stone Glyph Slash	石字斩【无需翻译】
10110200964	Petrify Cleave	石化顺劈【无需翻译】
10110200965	Petrifying Mist	石化迷雾【无需翻译】
10110200966	Sandstorm	沙暴【无需翻译】
10110200967	Light Poring Normal Attack-Holy	光明波利普攻-光【无需翻译】
10110200968	Golden Thief Bug Normal Attack-Fire	黄金虫普攻-火【无需翻译】
10110200969	Fallen Poring Normal Attack-Earth	堕落波利普攻-地【无需翻译】
10110200970	Orc Hero Normal Attack-Earth	兽人英雄普攻-地【无需翻译】
10110200971	Maya Normal Attack-Earth	蚁后普攻-地【无需翻译】
10110200972	Orc Lord Normal Attack-Earth	兽人酋长普攻-地【无需翻译】
10110200973	Goblin Leader Normal Attack-Wind	哥布灵首领普攻-风【无需翻译】
10110200974	Mistress Normal Attack-Wind	蜂后普攻-风【无需翻译】
10110200975	Phreeoni Normal Attack-Neutral	皮里恩普攻-无【无需翻译】
10110200976	Eddga Normal Attack-Fire	虎王普攻-火【无需翻译】
10110200977	Wavechaser Captain Normal Attack-Eternal	逐浪人船长普攻-永恒【无需翻译】
10110200978	Powerful Drain	强力吸取【无需翻译】
10110200979	Beehive Toss	蜂巢投掷【无需翻译】
10110200980	Stinger Assault	针刺突袭【无需翻译】
10110200981	Stinger Barrage	针刺扫射【无需翻译】
10110200982	Swarming Bees	群蜂环绕【无需翻译】
10110200983	Stinger Barrage@{1}	针刺扫射@{1}【无需翻译】
10110200984	Hiding	隐匿【无需翻译】
10110200985	Powerful Drain Trigger	强力吸取触发【无需翻译】
10110200986	Osiris Normal Attack	俄赛里斯普攻【无需翻译】
10110200987	Summon Horong	召唤鬼火【无需翻译】
10110200988	Bandage Lash	绷带鞭挞【无需翻译】
10110200989	Summon Mummy	召唤木乃伊【无需翻译】
10110200990	Tracking Horong	鬼火追踪【无需翻译】
10110200991	Dark Pulse	黑暗脉冲【无需翻译】
10110200992	Goblin Leader Normal Attack	哥布林首领普攻【无需翻译】
10110200993	Intimidating Roar	威慑怒吼【无需翻译】
10110200994	Spear Thrust	长矛戳刺【无需翻译】
10110200995	Summon Spear	召唤长矛【无需翻译】
10110200996	Hornet Assault	蜂兵来袭【无需翻译】
10110200997	Falling Beehive	天降蜂巢【无需翻译】
10110200998	Hornet Attack	蜂兵出击【无需翻译】
10110200999	Mistress Normal Attack	蜂后普攻【无需翻译】
10110201000	Boss Spear Throw	首领投枪【无需翻译】
10110201001	Spear Barrage	长矛齐射【无需翻译】
10110201002	Baphomet Normal Attack	巴风特普攻【无需翻译】
10110201003	Scythe Sweep Attack	镰刀横扫【无需翻译】
10110201004	Inferno Explosion	狱火爆炸【无需翻译】
10110201005	Hellfire	地狱之火【无需翻译】
10110201006	Summon Scythe	召唤镰刀【无需翻译】
10110201007	Soul Reaper	灵魂收割【无需翻译】
10110201008	Summon Coffin	召唤棺材【无需翻译】
10110201009	Mummy's Hand	木乃伊之手【无需翻译】
10110201010	Summon Pyramid	召唤金字塔【无需翻译】
10110201011	Spinning Pyramid	金字塔旋转【无需翻译】
10110201012	Coffin Eruption	棺材喷发【无需翻译】
10110201013	Scarab Swarm	甲虫狂潮【无需翻译】
10110201014	Pharaoh Normal Attack	法老王普攻【无需翻译】
10110201015	Gift of the Underworld	冥府礼赠【无需翻译】
10110201016	Shadow Siphon	暗影虹吸【无需翻译】
10110201017	Funeral Beat	送葬节拍【无需翻译】
10110201018	Orc Lord Normal Attack	兽人酋长普攻【无需翻译】
10110201019	Brutal Sweep Attack	暴虐横扫【无需翻译】
10110201020	Rockfall Barrage	碎石暴雨【无需翻译】
10110201021	Triple Quake	三重震击【无需翻译】
10110201022	Gravity Totem	引力图腾【无需翻译】
10110201023	Gravity Totem Explosion	引力图腾爆炸【无需翻译】
10110201024	Brute Force Rupture	蛮力裂冲【无需翻译】
10110201025	Gravity Totem Pull	引力图腾牵引【无需翻译】
10110201026	Orc Lord-Placeholder	兽人酋长-占位【无需翻译】
10110201027	Moonlight Flower Normal Attack	月夜猫普攻【无需翻译】
10110201028	Dark Corrosion	黑暗侵蚀【无需翻译】
10110201029	Sonic Impact	音波冲击【无需翻译】
10110201030	Falling Bell	天降铃铛【无需翻译】
10110201031	Bell Resonance	铃铛共振【无需翻译】
10110201032	Moonlight Flower-Placeholder	月夜猫-占位【无需翻译】
10110201033	Roaming Tempest	飓浪巡弋【无需翻译】
10110201034	Doppelganger Normal Attack	死灵普攻【无需翻译】
10110201035	Dark Magnum Break	暗之怒爆【无需翻译】
10110201036	Charging Blade	冲锋剑【无需翻译】
10110201037	Blade Fan	刀扇【无需翻译】
